,date,c13,o18
767,1832.83,-25.5250566719488,24.5827635037454
768,1833.13,-25.4862043019964,25.8861927529581
769,1833.38,-24.8446192957781,26.4549676342972
770,1833.63,-25.6215147627667,25.7289265439772
771,1833.88,-25.8644164033333,25.7249456375189
772,1834.13,-26.021474760934,25.3637218421823
773,1834.38,-25.4476310720336,25.2391896092476
774,1834.63,-25.4003736564256,25.0442664529549
775,1834.88,-25.6648992030224,23.8669031033382
776,1835.17,-25.6996293594012,24.6579392100577
777,1835.5,-25.4304310220747,24.8610367794518
778,1835.83,-25.4497452273311,24.8943578814207
779,1836.25,-25.2357003959256,25.7715885628238
780,1836.75,-25.0743295387943,25.0752731026018
781,1837.17,-25.1839195898597,25.4090748284249
782,1837.5,-25.0504843086439,25.0505387773817
783,1837.83,-24.9557127841123,24.8878223453898
784,1838.13,-25.2529855146225,24.970148690121
785,1838.38,-24.9297104232402,25.9294935640453
786,1838.63,-25.4959176356596,25.6173348841965
787,1838.88,-25.5806351784086,24.7935799115265
