date,c13,o18
1949.42,-25.27,27.71
1949.58,-25.78,27.88
1949.75,-26.19,28.28
1949.92,-26.52,27.93
1950.06,-26.21,29.15
1950.19,-25.76,27.09
1950.31,-25.97,26.65
1950.44,-25.23,29.62
1950.56,-25.24,30.35
1950.69,-25.86,30.71
1950.81,-26.42,29.17
1950.94,-26.52,29.66
1951.08,-25.11,28.03
1951.25,-24.85,28.58
1951.42,-24.6,28.62
1951.58,-24.97,27.41
1951.75,-25.52,26.16
1951.92,-25.54,28.48
1952.1,-25.13,29.05
1952.3,-24.72,27.17
1952.5,-24.73,26.85
1952.7,-25.0,27.88
1952.9,-25.09,27.78
1953.08,-25.3,27.52
1953.25,-25.08,27.06
1953.42,-24.42,26.95
1953.58,-24.69,27.09
1953.75,-24.78,27.69
1953.92,-25.66,26.37
1954.08,-25.93,27.27
1954.25,-25.56,27.54
1954.42,-24.97,26.55
1954.58,-24.83,26.59
1954.75,-24.67,27.26
1954.92,-24.78,27.72
1955.08,-25.2,27.27
1955.25,-24.51,27.4
1955.42,-23.97,27.74
1955.58,-24.28,28.48
1955.75,-24.34,29.71
1955.92,-25.57,27.74
1956.08,-26.07,27.06
1956.25,-26.3,26.48
1956.42,-26.28,26.29
1956.58,-25.43,27.12
1956.75,-25.08,27.36
1956.92,-24.99,28.65
1957.08,-25.63,28.17
1957.25,-25.59,28.05
1957.42,-25.28,26.91
1957.58,-25.09,27.02
1957.75,-25.5,27.71
1957.92,-26.01,27.79
1958.08,-26.05,28.25
1958.25,-25.16,28.95
1958.42,-25.03,28.29
1958.58,-25.33,29.16
1958.75,-25.51,28.48
1958.92,-25.79,27.71
1959.08,-25.92,27.65
1959.25,-25.28,28.06
1959.42,-25.78,26.44
1959.58,-25.93,27.54
1959.75,-26.05,28.48
1959.92,-26.48,27.66
1960.08,-26.23,28.87
1960.25,-26.53,27.5
1960.42,-26.06,26.66
1960.58,-25.35,27.36
1960.75,-24.94,28.58
1960.92,-24.84,29.54
1961.08,-25.02,28.92
1961.25,-25.49,27.75
1961.42,-25.0,25.54
1961.58,-25.04,26.3
1961.75,-25.07,26.22
1961.92,-25.41,27.89
1962.1,-24.93,28.22
1962.3,-24.84,27.67
1962.5,-25.79,25.33
1962.7,-25.46,26.94
1962.9,-25.99,26.96
1963.08,-25.96,28.14
1963.25,-26.21,27.17
1963.42,-25.67,27.5
1963.58,-25.93,26.24
1963.75,-25.91,27.6
1963.92,-25.87,27.97
1964.08,-25.78,28.31
1964.25,-24.98,28.68
1964.42,-24.42,29.08
1964.58,-23.75,30.12
1964.75,-24.06,29.95
1964.92,-24.21,29.08
1965.08,-24.52,30.02
1965.25,-25.64,26.61
1965.42,-25.74,26.89
1965.58,-25.85,28.43
1965.75,-25.79,29.03
1965.92,-26.19,28.11
1966.08,-26.3,28.3
1966.25,-25.33,28.57
1966.42,-25.04,28.88
1966.58,-24.87,29.2
1966.75,-25.65,27.27
1966.92,-25.88,28.08
1967.08,-26.19,28.58
1967.25,-25.73,28.02
1967.42,-25.03,27.88
1967.58,-24.82,28.88
1967.75,-25.28,28.17
1967.92,-25.74,28.48
1968.08,-25.62,28.82
1968.25,-25.63,28.37
1968.42,-25.48,28.6
1968.58,-25.98,27.99
1968.75,-25.8,28.68
1968.92,-26.09,28.41
1969.08,-25.97,28.46
1969.25,-26.05,28.25
1969.42,-26.47,27.69
1969.58,-26.73,27.27
1969.75,-26.67,27.33
1969.92,-27.14,25.72
1970.08,-26.69,26.92
1970.25,-26.08,27.64
1970.42,-26.4,26.74
1970.58,-26.05,27.03
1970.75,-26.02,27.52
1970.92,-25.6,28.52
1971.08,-25.99,28.25
1971.25,-25.97,28.28
1971.42,-25.53,28.29
1971.58,-25.27,28.9
1971.75,-25.53,28.61
1971.92,-25.65,28.48
1972.25,-25.13,28.83
1972.75,-25.64,27.51
1973.1,-25.7,26.97
1973.3,-25.62,27.45
1973.5,-25.85,26.88
1973.7,-25.88,27.91
1973.9,-25.77,29.05
1974.1,-26.04,29.24
1974.3,-25.63,29.58
1974.5,-26.02,28.06
1974.7,-25.75,27.98
1974.9,-25.7,28.17
1975.08,-25.72,26.28
1975.25,-24.72,28.92
1975.42,-24.72,29.68
1975.58,-25.06,28.78
1975.75,-25.28,28.45
1975.92,-25.31,29.55
1976.08,-25.12,29.84
1976.25,-25.24,27.78
1976.42,-24.84,29.01
1976.58,-24.96,27.69
1976.75,-25.12,27.92
1976.92,-25.29,28.46
1977.08,-25.86,28.1
1977.25,-25.46,29.94
1977.42,-25.54,29.23
1977.58,-25.48,28.49
